@relation data
@attribute OpSet1 numeric
@attribute OpSet2 numeric
@attribute OpSet3 numeric
@attribute SensorMeasure1 numeric
@attribute SensorMeasure2 numeric
@attribute SensorMeasure3 numeric
@attribute SensorMeasure4 numeric
@attribute SensorMeasure5 numeric
@attribute SensorMeasure6 numeric
@attribute SensorMeasure7 numeric
@attribute SensorMeasure8 numeric
@attribute SensorMeasure9 numeric
@attribute SensorMeasure10 numeric
@attribute SensorMeasure11 numeric
@attribute SensorMeasure12 numeric
@attribute SensorMeasure13 numeric
@attribute SensorMeasure14 numeric
@attribute SensorMeasure15 numeric
@attribute SensorMeasure16 numeric
@attribute SensorMeasure17 numeric
@attribute SensorMeasure18 numeric
@attribute SensorMeasure19 numeric
@attribute SensorMeasure20 numeric
@attribute SensorMeasure21 numeric
@attribute survival_time numeric
@attribute survival_status numeric
@data
10.0029,0.2511,100,489.05,604.73,1496.59,1305.02,10.52,15.49,395.29,2318.82,8783.29,1.26,45,372.2,2388.01,8135.48,8.6057,0.03,366,2319,100,28.74,17.1307,150,1
10.0066,0.2508,100,489.05,604.7,1496.56,1297.58,10.52,15.49,395.74,2318.83,8794.98,1.26,45.02,371.62,2387.99,8139.08,8.6068,0.03,368,2319,100,28.75,17.2343,165,1
25.0029,0.6201,60,462.54,536.87,1258.77,1044.92,7.05,9.03,175.43,1915.41,8009.48,0.94,36.67,164.7,2028.3,7875.67,10.8922,0.02,305,1915,84.93,14.2,8.6182,238,0
24.9985,0.62,60,462.54,536.24,1259.94,1045.51,7.05,9.03,175.51,1915.25,8002.62,0.94,36.84,164.71,2028.11,7868.9,10.8909,0.02,307,1915,84.93,14.3,8.6672,238,0
25.0023,0.62,60,462.54,537.16,1266.55,1038.78,7.05,9.02,175.34,1915.18,7996.15,0.94,36.55,164.66,2028.11,7869.22,10.8576,0.02,306,1915,84.93,14.35,8.5839,194,1
0.0016,0.0001,100,518.67,642.15,1588.13,1397.1,14.62,21.61,553.7,2387.96,9043.95,1.3,47.11,522.77,2388.01,8132.74,8.369,0.03,391,2388,100,39.02,23.3918,204,1
42.0058,0.8417,100,445,549.67,1345.26,1121.51,3.91,5.71,138.81,2211.75,8312.89,1.02,42.01,130.24,2387.86,8076.26,9.3645,0.02,333,2212,100,10.71,6.3425,195,1
20.0031,0.7,100,491.19,607.47,1478.69,1249.35,9.35,13.65,334.36,2323.94,8714.38,1.08,44.43,315.04,2388.04,8056.54,9.2337,0.02,365,2324,100,24.35,14.6863,202,1
24.9991,0.6213,60,462.54,536.26,1251.44,1042.72,7.05,9.02,175.89,1915.25,8013.36,0.94,36.62,164.72,2028.21,7871.28,10.8987,0.02,306,1915,84.93,14.15,8.6386,209,1
24.9997,0.6206,60,462.54,537,1258.6,1045.65,7.05,9.03,175.81,1915.34,8008.62,0.94,36.58,164.45,2028.28,7881.1,10.8702,0.02,306,1915,84.93,14.3,8.5559,176,1
24.998,0.6212,60,462.54,536.86,1256.84,1052.2,7.05,9.02,176.31,1915.32,8008.02,0.94,36.47,164.79,2028.21,7875.95,10.8323,0.02,306,1915,84.93,14.4,8.5117,213,1
19.9991,0.7,100,491.19,607.67,1489.14,1249.95,9.35,13.66,333.74,2323.96,8726.68,1.08,44.35,314.95,2388.12,8062.21,9.2623,0.02,366,2324,100,24.39,14.6806,192,1
20.0008,0.7,100,491.19,607.03,1479.51,1237.08,9.35,13.65,335.18,2323.97,8732.94,1.07,44.02,315.36,2388.08,8072.04,9.2172,0.02,366,2324,100,24.36,14.6799,238,0
0.0028,0.0003,100,518.67,642.94,1589.12,1400.86,14.62,21.61,552.82,2388.13,9054.86,1.3,47.54,521.13,2388.09,8128.05,8.431,0.03,394,2388,100,38.81,23.2516,220,1
35.0055,0.8403,100,449.44,555.87,1363.29,1127.72,5.48,8,194.8,2223.14,8361.51,1.02,41.74,183.2,2388.28,8078.67,9.2859,0.02,332,2223,100,15.08,8.8575,210,1
24.9994,0.62,60,462.54,536.56,1255.29,1044.47,7.05,9.02,176.3,1915.49,8020.42,0.94,36.58,164.56,2028.45,7890.07,10.866,0.02,306,1915,84.93,14.3,8.6153,204,1
42.0054,0.8415,100,445,549.24,1340.25,1113.22,3.91,5.71,139.26,2211.98,8321.07,1.02,41.73,130.81,2388.02,8083.18,9.3558,0.02,329,2212,100,10.79,6.3882,150,1
42.001,0.84,100,445,549.16,1349.47,1118.86,3.91,5.71,139.59,2212.14,8331.33,1.02,41.99,131.3,2388.18,8099.23,9.3277,0.02,328,2212,100,10.72,6.487,200,1
20.0018,0.7016,100,491.19,607.53,1479.58,1249.02,9.35,13.65,334.53,2323.93,8727.31,1.08,43.97,315.75,2388.09,8064.54,9.2158,0.02,365,2324,100,24.48,14.8015,238,0
35.0025,0.84,100,449.44,555.55,1359.73,1128.68,5.48,8,194.7,2222.85,8344.1,1.02,41.87,182.96,2387.97,8062.58,9.2646,0.02,334,2223,100,14.8,8.9548,238,1
25.0056,0.6211,60,462.54,536.56,1258.04,1047.02,7.05,9.03,175.44,1915.53,8013.95,0.94,36.28,164.48,2028.49,7885.16,10.8615,0.02,306,1915,84.93,14.26,8.6175,167,1
10.0035,0.2507,100,489.05,604.26,1494.32,1301.77,10.52,15.49,396.35,2318.83,8782.01,1.26,45.09,372.46,2388,8140.99,8.6023,0.03,370,2319,100,28.71,17.2424,221,1
9.9997,0.25,100,489.05,604.61,1499.91,1298,10.52,15.49,395.49,2318.83,8779.25,1.26,45.15,372,2388.04,8132.82,8.6409,0.03,369,2319,100,28.79,17.2355,238,0
24.9988,0.62,60,462.54,536.98,1259.7,1040.17,7.05,9.02,175.58,1915.15,7998.86,0.94,36.8,164.67,2028,7870.6,10.8572,0.02,305,1915,84.93,14.26,8.5714,173,1
35.0021,0.8401,100,449.44,555.28,1361.37,1117.55,5.48,8,194.94,2222.91,8345.02,1.02,41.56,183.93,2388.02,8061.14,9.2584,0.02,331,2223,100,15.05,8.9494,147,1
42.0011,0.8409,100,445,549.75,1353.14,1130.65,3.91,5.71,138.78,2211.78,8314.84,1.02,42.17,130.78,2387.88,8082.87,9.3854,0.02,331,2212,100,10.53,6.3359,198,1
10.0053,0.2512,100,489.05,604.59,1494.52,1300.27,10.52,15.49,395.7,2318.86,8790.98,1.26,45.28,372.18,2388.05,8141.57,8.6347,0.03,368,2319,100,28.77,17.2256,158,1
42.0056,0.8401,100,445,549.66,1356.56,1131.48,3.91,5.71,139.05,2211.68,8307.47,1.02,42.05,130.35,2387.7,8073.65,9.3981,0.02,332,2212,100,10.72,6.2951,162,1
25.005,0.62,60,462.54,536.61,1261.08,1044.76,7.05,9.03,176.12,1915.37,8009.28,0.94,36.61,164.54,2028.32,7880.63,10.8869,0.02,305,1915,84.93,14.5,8.571,139,1
10.0039,0.2515,100,489.05,605.04,1496.37,1303.25,10.52,15.49,394.46,2318.89,8772.02,1.26,45.21,371.49,2388.12,8129.7,8.6494,0.03,368,2319,100,28.72,17.1594,161,1
24.9985,0.6201,60,462.54,536.92,1262.25,1046.87,7.05,9.02,175.22,1915.11,7993.81,0.94,36.71,165.04,2027.91,7864.03,10.901,0.02,308,1915,84.93,14.13,8.6365,193,1
19.9986,0.7013,100,491.19,607.44,1477.47,1253.98,9.35,13.66,334.56,2323.93,8714.6,1.08,44.5,314.37,2388.11,8052.36,9.2173,0.02,364,2324,100,24.52,14.6087,176,1
0.0023,0.0015,100,518.67,642.6,1578.03,1400.55,14.62,21.61,554.62,2387.99,9058.92,1.3,47.2,522.94,2388.01,8140.05,8.3692,0.03,391,2388,100,38.99,23.4518,217,1
35.007,0.8405,100,449.44,555.99,1368.46,1124.78,5.48,8,194.34,2222.97,8353.71,1.02,41.89,182.45,2388.01,8066.13,9.3013,0.02,334,2223,100,14.89,8.898,183,1
20.0024,0.7003,100,491.19,607.29,1485.86,1253.99,9.35,13.65,334.72,2324.02,8725.55,1.08,44.26,315.02,2388.11,8063.46,9.1574,0.02,364,2324,100,24.63,14.6812,167,1
42.0034,0.84,100,445,549.49,1346.43,1119.4,3.91,5.71,139.91,2211.77,8314.39,1.02,41.96,130.44,2387.86,8078.34,9.4016,0.02,331,2212,100,10.48,6.4802,238,0
10.0021,0.25,100,489.05,604.88,1503.99,1311.18,10.52,15.49,394.34,2319.04,8769.45,1.26,45.36,371.42,2388.17,8125.81,8.6445,0.03,370,2319,100,28.42,17.1201,205,1
35.0064,0.84,100,449.44,555.81,1365.76,1130.29,5.48,8,194.03,2222.84,8347.38,1.02,41.83,182.91,2387.89,8063.59,9.3419,0.02,332,2223,100,14.98,8.8211,169,1
19.9989,0.7,100,491.19,606.86,1484.72,1239.94,9.35,13.65,335.37,2323.92,8723.05,1.08,44.08,315.11,2387.99,8056.98,9.1687,0.02,365,2324,100,24.56,14.8199,144,1
25.0061,0.6202,60,462.54,536.38,1260.83,1048.63,7.05,9.03,175.68,1915.47,8020.84,0.94,36.39,164.79,2028.37,7881.46,10.8857,0.02,307,1915,84.93,14.33,8.5681,184,1
34.9989,0.8403,100,449.44,555.68,1365.94,1122.27,5.48,8,194.23,2222.86,8343.91,1.02,42.03,183.21,2388.01,8064.42,9.3218,0.02,334,2223,100,14.76,8.9721,135,1
25.0055,0.62,60,462.54,536.75,1253.02,1057.03,7.05,9.03,175.62,1915.59,8021.14,0.94,36.64,165.16,2028.49,7894.9,10.8342,0.02,306,1915,84.93,14.1,8.585,155,1
25.0011,0.62,60,462.54,536.66,1262.53,1039.63,7.05,9.03,175.28,1915.48,8013.07,0.94,36.4,164.97,2028.41,7878.99,10.8677,0.02,307,1915,84.93,14.27,8.6194,193,1
35.0038,0.8405,100,449.44,555.89,1367.93,1131.57,5.48,8,193.89,2222.88,8346.31,1.02,41.97,182.61,2387.88,8058.47,9.3369,0.02,334,2223,100,14.77,8.8806,195,1
42.0037,0.8413,100,445,549.41,1352.91,1121.21,3.91,5.71,138.45,2211.73,8315.5,1.02,41.88,130.54,2387.79,8079.12,9.369,0.02,331,2212,100,10.58,6.3302,238,1
41.9991,0.8409,100,445,548.74,1350.43,1116.38,3.91,5.71,138.39,2211.86,8321.34,1.02,41.87,130.12,2387.93,8081.67,9.3291,0.02,329,2212,100,10.53,6.3366,157,1
42.0069,0.8404,100,445,549.07,1350.34,1124.3,3.91,5.72,138.78,2211.79,8318.82,1.02,41.75,130.4,2387.88,8080.81,9.3683,0.02,331,2212,100,10.73,6.3851,230,1
35.0041,0.84,100,449.44,555.21,1363.23,1121.86,5.48,8,195.12,2222.95,8353.53,1.02,41.99,182.81,2388,8062.48,9.2721,0.02,334,2223,100,14.97,9.0164,238,0
0.0022,0.0002,100,518.67,642.24,1595.85,1402.61,14.62,21.61,554.77,2388.01,9054.28,1.3,47.17,521.98,2388.09,8129.7,8.4078,0.03,391,2388,100,39.06,23.3802,184,1
41.9984,0.8417,100,445,549.07,1348.31,1130.1,3.91,5.71,138.41,2211.79,8313.43,1.02,41.97,130.08,2387.94,8078.01,9.36,0.02,332,2212,100,10.66,6.2479,160,1
42.0045,0.84,100,445,549.19,1351.1,1120.65,3.91,5.71,138.76,2212.06,8329.38,1.02,42.04,130.9,2388.16,8095.44,9.3483,0.02,330,2212,100,10.75,6.4148,180,1
0.0026,0,100,518.67,641.73,1584.56,1400.64,14.62,21.61,554.04,2388.09,9070.32,1.3,47.53,522.24,2388.06,8140.76,8.4014,0.03,391,2388,100,38.7,23.324,220,1
35.0021,0.8415,100,449.44,555.62,1363.63,1126.48,5.48,8,194.19,2223.08,8353.86,1.02,41.79,183.11,2388.17,8073.07,9.2722,0.02,334,2223,100,14.91,8.88,238,0
42.0003,0.84,100,445,549.72,1357.78,1135.34,3.91,5.72,138.05,2211.85,8318.83,1.02,42.27,130.92,2387.94,8084.14,9.422,0.02,331,2212,100,10.62,6.3244,199,1
10.0014,0.25,100,489.05,604.68,1505.43,1311.02,10.52,15.49,393.85,2318.94,8765.11,1.26,45.58,370.96,2388.21,8110.27,8.6607,0.03,370,2319,100,28.3,17.1233,169,1
0.0018,0,100,518.67,642.6,1584.39,1407.44,14.62,21.61,553.21,2388.1,9047.8,1.3,47.44,521.64,2388.07,8130.25,8.4272,0.03,394,2388,100,38.92,23.3157,238,0
0.0027,0.0018,100,518.67,642.57,1580.16,1416.45,14.62,21.61,553.43,2388.13,9045.25,1.3,47.44,521.44,2388.07,8127.58,8.4713,0.03,393,2388,100,38.87,23.3309,238,0
20.002,0.7013,100,491.19,607.37,1478.02,1249.67,9.35,13.65,334.74,2323.92,8725.57,1.08,44.27,314.82,2388.02,8059.13,9.2299,0.02,363,2324,100,24.67,14.7302,189,1
9.9998,0.25,100,489.05,604.56,1488.61,1299.74,10.52,15.49,394.74,2318.8,8784.74,1.26,45.15,372.33,2388.05,8139.07,8.6299,0.03,368,2319,100,28.73,17.1667,169,1
19.9997,0.7,100,491.19,606.54,1492.08,1243.37,9.35,13.65,335.62,2323.92,8716.56,1.08,44.03,315.31,2388,8061.28,9.203,0.02,365,2324,100,24.72,14.7746,238,0
42.002,0.8412,100,445,549.85,1351.8,1135.94,3.91,5.71,139.4,2211.65,8308.64,1.02,42.14,130.17,2387.72,8073.99,9.3892,0.02,331,2212,100,10.51,6.3256,187,1
42.0074,0.8402,100,445,549.55,1351.34,1127.19,3.91,5.71,138.9,2211.96,8330.64,1.02,41.81,130.57,2388.01,8083.52,9.3486,0.02,331,2212,100,10.59,6.3862,187,1
42.0027,0.84,100,445,549.38,1354.57,1127.4,3.91,5.71,138.25,2211.95,8318.86,1.02,42.09,131.1,2387.98,8090.26,9.381,0.02,330,2212,100,10.66,6.3445,238,0
41.9998,0.8409,100,445,549.85,1347.54,1131.05,3.91,5.72,138.62,2212,8326.62,1.02,42.24,130.64,2388.05,8088.54,9.3399,0.02,330,2212,100,10.51,6.312,187,1
42.0065,0.841,100,445,549.13,1349.6,1121.2,3.91,5.71,138.84,2211.91,8318.8,1.02,41.95,130.49,2388.05,8086.31,9.3469,0.02,331,2212,100,10.57,6.3322,188,1
42.0014,0.84,100,445,549.88,1355.99,1109.09,3.91,5.72,138.47,2212.04,8327.68,1.02,41.89,130.92,2388.15,8092.54,9.37,0.02,329,2212,100,10.68,6.4047,238,0
10.0045,0.2518,100,489.05,604.63,1496.97,1307.47,10.52,15.49,394.84,2318.87,8778.6,1.26,45.4,372.35,2388.05,8127.34,8.6054,0.03,368,2319,100,28.82,17.1542,197,1
0.002,0,100,518.67,641.95,1591.53,1394.03,14.62,21.61,554.89,2387.99,9060.85,1.3,47.12,523.03,2387.93,8132.04,8.3983,0.03,391,2388,100,39.04,23.4302,207,1
42.0015,0.84,100,445,549.46,1358.4,1114.31,3.91,5.72,138.99,2211.83,8304.36,1.02,41.95,130.75,2387.82,8080.54,9.343,0.02,330,2212,100,10.75,6.3771,144,1
9.9993,0.2505,100,489.05,605,1502.96,1312.99,10.52,15.49,393.96,2318.9,8777.58,1.26,45.43,371.17,2388.15,8134.47,8.6754,0.03,370,2319,100,28.5,17.0495,166,1
25.005,0.62,60,462.54,537.33,1254.39,1042.22,7.05,9.03,175.85,1915.29,8004.36,0.94,36.49,164.3,2028.1,7871.29,10.8382,0.02,306,1915,84.93,14.29,8.6959,201,1
0.0024,0.0014,100,518.67,642.85,1593.43,1395.24,14.62,21.61,554.51,2388,9066.26,1.3,47.25,522.13,2388.01,8146.28,8.3972,0.03,391,2388,100,39.04,23.3416,211,1
41.9986,0.8408,100,445,548.98,1354.62,1129.76,3.91,5.71,138.57,2211.74,8315.39,1.02,42.03,131.08,2387.82,8077.8,9.3365,0.02,331,2212,100,10.58,6.3208,210,1
42.002,0.8405,100,445,549.86,1353.43,1132.4,3.91,5.72,137.98,2211.82,8320,1.02,42.05,130.38,2387.84,8083.37,9.3936,0.02,331,2212,100,10.5,6.3366,163,1
42.0061,0.84,100,445,549.18,1347.49,1127.52,3.91,5.71,138.32,2212,8324.35,1.02,41.79,130.49,2388.09,8087.33,9.3298,0.02,329,2212,100,10.51,6.366,238,0
35.0063,0.84,100,449.44,555.32,1365.9,1118.79,5.48,8,195.21,2223.1,8354.68,1.02,41.54,183.9,2388.23,8076.94,9.2537,0.02,333,2223,100,14.96,8.8428,227,1
0.0019,0.0014,100,518.67,641.87,1584.52,1397.39,14.62,21.61,554.24,2388.04,9063.84,1.3,47.21,522.2,2388.01,8145.39,8.3756,0.03,391,2388,100,38.95,23.4282,238,0
35.0047,0.84,100,449.44,555.34,1367.43,1128.82,5.48,8,194.31,2222.72,8341.59,1.02,41.87,182.71,2387.83,8054.44,9.3015,0.02,334,2223,100,14.81,8.9407,238,0
24.9998,0.62,60,462.54,536.98,1258.16,1047.42,7.05,9.03,175.6,1915.4,8009.34,0.94,36.65,165.22,2028.34,7885.12,10.891,0.02,306,1915,84.93,14.39,8.6192,144,1
42.0038,0.84,100,445,550.12,1358.79,1127.26,3.91,5.71,138.34,2211.67,8315.7,1.02,42.28,130.44,2387.76,8076.92,9.3867,0.02,331,2212,100,10.73,6.4233,155,1
42.0071,0.8401,100,445,549.75,1357.19,1118.98,3.91,5.71,138.91,2211.63,8309.31,1.02,42.27,130.06,2387.63,8064.19,9.3604,0.02,331,2212,100,10.47,6.317,219,1
0.0007,0.0014,100,518.67,643.06,1579.84,1405.95,14.62,21.61,553.23,2388.07,9056.32,1.3,47.53,522.14,2388.11,8137.5,8.425,0.03,392,2388,100,38.85,23.4149,220,1
35.0067,0.8404,100,449.44,555.51,1360.72,1129.38,5.48,8,194.42,2222.84,8341.96,1.02,41.74,183.5,2387.97,8065.85,9.3052,0.02,334,2223,100,14.86,8.9455,199,1
20.0033,0.7,100,491.19,607.82,1480.07,1249.25,9.35,13.65,334.48,2323.94,8733.13,1.08,44.16,316.03,2388.13,8079.76,9.2138,0.02,364,2324,100,24.6,14.7226,238,0
19.9998,0.7005,100,491.19,607.67,1486.97,1245.41,9.35,13.66,334.65,2324.07,8723.28,1.08,44.52,314.82,2388.12,8060.55,9.2415,0.02,366,2324,100,24.48,14.7132,231,1
20.0014,0.7,100,491.19,606.8,1477.29,1244.92,9.35,13.65,335.81,2323.9,8731.35,1.08,44.07,315.66,2388.13,8063.16,9.1836,0.02,364,2324,100,24.47,14.7237,202,1
20.008,0.7,100,491.19,607.61,1481.97,1250.45,9.35,13.65,334.81,2323.99,8723.95,1.08,44.31,315.42,2388.01,8065.39,9.2137,0.02,364,2324,100,24.53,14.7641,205,1
35.0044,0.84,100,449.44,555.21,1356.98,1125.77,5.48,8,194.9,2223.06,8360.34,1.02,41.67,183.42,2388.17,8070.62,9.2993,0.02,334,2223,100,14.85,9.0197,206,1
25.004,0.62,60,462.54,536.03,1264.47,1046.66,7.05,9.03,175.35,1915.45,8005.1,0.94,36.85,165.43,2028.31,7872.51,10.888,0.02,307,1915,84.93,14.31,8.5695,176,1
10.0041,0.25,100,489.05,603.8,1495.46,1304.8,10.52,15.49,395.19,2318.85,8784.42,1.26,45.17,372.13,2388.08,8139.41,8.6231,0.03,368,2319,100,28.74,17.1829,238,0
0.0027,0.0006,100,518.67,642.08,1582.99,1397.72,14.62,21.61,554,2388.02,9060.33,1.3,47.12,522.56,2388.04,8146.03,8.4317,0.03,391,2388,100,39.02,23.4652,173,1
35.0055,0.84,100,449.44,556.11,1369.33,1130.97,5.48,8,193.44,2222.85,8350.24,1.02,41.95,182.84,2387.86,8061.27,9.3193,0.02,335,2223,100,14.88,9.0153,128,1
25.0078,0.6217,60,462.54,536.58,1258.47,1051.5,7.05,9.03,175.6,1915.44,8022.36,0.94,36.57,164.51,2028.31,7874.46,10.885,0.02,307,1915,84.93,14.25,8.6363,209,1
42.0066,0.8403,100,445,549.08,1355.1,1117.65,3.91,5.72,139.34,2212.08,8336.15,1.02,41.73,130.87,2388.21,8094.56,9.3281,0.02,330,2212,100,10.86,6.4366,184,1
42.0042,0.84,100,445,549.37,1351.34,1123.81,3.91,5.72,139.11,2212.17,8328.05,1.02,41.76,130.73,2388.25,8092.71,9.3346,0.02,329,2212,100,10.72,6.4774,225,1
10.0037,0.2516,100,489.05,604.29,1496.37,1298.98,10.52,15.49,395.57,2318.83,8794.38,1.26,45.2,371.32,2388.04,8145.7,8.6054,0.03,369,2319,100,28.63,17.325,238,0
34.9995,0.8404,100,449.44,555.14,1355.37,1124.93,5.48,8,195.07,2222.9,8347.54,1.02,41.76,183.41,2388.02,8065.02,9.2722,0.02,334,2223,100,14.72,8.9182,167,1
25.0074,0.62,60,462.54,536.53,1256.95,1044.34,7.05,9.03,175.24,1915.48,8014.88,0.94,36.65,164.48,2028.36,7875.62,10.9245,0.02,305,1915,84.93,14.54,8.5688,198,1
25.0011,0.62,60,462.54,536.29,1247.76,1037.47,7.05,9.02,175.96,1915.37,8005.94,0.94,36.43,165.21,2028.21,7875.26,10.8805,0.02,305,1915,84.93,14.31,8.5523,238,0
25.0048,0.62,60,462.54,536.44,1255.14,1041.51,7.05,9.03,175.11,1915.3,8002.86,0.94,36.35,164.81,2028.18,7873.42,10.8839,0.02,306,1915,84.93,14.41,8.4852,238,0
42.0001,0.8417,100,445,549.52,1345.64,1117.4,3.91,5.72,138.39,2212,8331.81,1.02,41.86,131.13,2388.1,8091.89,9.3447,0.02,331,2212,100,10.7,6.4491,201,1
